agency_full,population,Percent_Change,YTD_Range,Last Updated
"Jefferson Parish, Louisiana",321980,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Montgomery County, Maryland",896963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"East Baton Rouge Parish, Louisiana",197853,-52.94%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greenville County, South Carolina",379428,-11.11%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mesa, Arizona",515848,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Portsmouth, Virginia",96649,-51.61%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tacoma, Washington",222828,-21.05%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Vallejo, California",122419,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Albany, Georgia",66281,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chattanooga, Tennessee",185370,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Johnston County, North Carolina",177923,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Killeen, Texas",161968,-26.32%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lake Charles, Louisiana",76393,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"New Haven, Connecticut",141481,55.56%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Reno, Nevada",277792,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Springfield, Massachusetts",154218,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Chesterfield County, Virginia",385204,18.18%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Clarksville, Tennessee",181916,62.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Corpus Christi, Texas",315340,-48.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lexington, Kentucky",319994,-18.75%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Paterson, New Jersey",155991,62.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sacramento County, California",604738,-31.58%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Arlington, Texas",394799,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fontana, California",214429,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hartford, Connecticut",120710,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Horry County, South Carolina",302018,71.43%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Jackson, Tennessee",68470,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Knoxville, Tennessee",198132,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mesquite, Texas",147926,140.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Toledo, Ohio",264341,-33.33%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Berkeley County, South Carolina",142756,37.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"El Paso County, Colorado",207095,57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Rapids, Michigan",196019,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jersey City, New Jersey",285117,83.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Newport News, Virginia",183600,-35.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Roanoke, Virginia",96925,57.14%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"San Diego County, California",519218,-56.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St. Paul, Minnesota",300368,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Virginia Beach, Virginia",453991,-8.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Lubbock, Texas",266960,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Riverside, California",323473,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Rocky Mount, North Carolina",53865,400.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Albany, New York",101930,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Anaheim, California",343147,-10.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Anderson County, South Carolina",164574,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chesapeake, Virginia",254051,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greeley, Colorado",109183,125.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Harrisburg, Pennsylvania",50229,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hidalgo County, Texas",260352,12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Montgomery County, Texas",565355,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"North Charleston, South Carolina",120162,-30.77%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Reading, Pennsylvania",97790,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Rockford, Illinois",145873,-47.06%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Springfield, Illinois",112781,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Springfield, Ohio",57866,125.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Beaumont, Texas",110671,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Charleston, South Carolina",155159,14.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Glendale, Arizona",253768,-42.86%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"San Bernardino, California",219483,0.00%,Jan - May 2025,2025-12-16 15:08:46 EST
"Santa Fe, New Mexico",89657,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Shelby County, Tennessee",136188,33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Waterbury, Connecticut",115380,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Yuma, Arizona",99610,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Amarillo, Texas",201684,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Brockton, Massachusetts",108938,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"El Paso County, Texas",116599,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Gilbert, Arizona",278495,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greenville, North Carolina",90048,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Gresham, Oregon",110225,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hayward, California",153914,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Honolulu, Hawaii",987546,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Independence, Missouri",120326,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lynchburg, Virginia",79509,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mckinney, Texas",212716,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pomona, California",143578,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"South Bend, Indiana",102999,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Spokane, Washington",230648,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Springfield, Missouri",170521,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Victoria, Texas",65298,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Waco, Texas",145741,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Warner Robins, Georgia",82991,75.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Williamson County, Texas",202897,133.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wilmington, North Carolina",122675,16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Yakima, Washington",96991,-36.36%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Aiken County, South Carolina",110756,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Baytown, Texas",83809,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bexar County, Texas",438152,-53.85%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Brazoria County, Texas",132229,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Champaign, Illinois",89687,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Corona, California",160590,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Decatur, Illinois",68301,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Denton, Texas",155215,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"El Cajon, California",103569,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fort Bend County, Texas",578695,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Galveston, Texas",52810,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Garland, Texas",240051,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Georgetown, Texas",87871,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jacksonville, North Carolina",69340,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lakewood, Colorado",156065,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Laredo, Texas",256542,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lewisville, Texas",133694,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Madera, California",68862,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Monterey County, California",103695,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"North Little Rock, Arkansas",64612,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"North Richland Hills, Texas",70853,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Prince William County, Virginia",480467,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Salt Lake City, Utah",206692,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Santa Rosa, California",176855,200.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Sarasota County, Florida",294526,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tyler, Texas",110824,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Valley, Utah",135023,20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Albemarle County, Virginia",115659,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Antioch, California",115271,-64.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Colerain Township, Ohio",58268,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Columbia, Missouri",129602,-58.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Elk Grove, California",177976,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Evansville, Indiana",114950,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fairfax County, Virginia",1094031,-54.55%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Fairfield, California",119071,400.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fort Smith, Arkansas",90417,NaN%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Gastonia, North Carolina",83739,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greenwood, Indiana",66131,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hamilton County, Ohio",122218,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"High Point, North Carolina",115490,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lincoln, Nebraska",293155,-16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Merced, California",94125,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"New Hanover County, North Carolina",105363,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Oceanside, California",171348,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Santa Maria, California",110317,150.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Scottsdale, Arizona",243644,400.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Sioux Falls, South Dakota",206559,-54.55%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Spotsylvania County, Virginia",149957,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tempe, Arizona",188144,25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Visalia, California",145031,-28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wake County, North Carolina",198748,66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Abilene, Texas",128387,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Beaufort County, South Carolina",132948,-60.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Billings, Montana",121365,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Buncombe County, North Carolina",158547,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Carlsbad, California",113796,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Cedar Rapids, Iowa",135777,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chandler, Arizona",282419,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Collin County, Texas",95286,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Conway, Arkansas",69315,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Davenport, Iowa",99911,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Duluth, Minnesota",86570,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fargo, North Dakota",134268,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Forsyth County, North Carolina",111773,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Guilford County, North Carolina",130423,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Henderson, Nevada",337794,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Howard County, Maryland",337780,-33.33%,Jan - Jun 2025,2025-12-16 15:08:46 EST
"Janesville, Wisconsin",66033,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jefferson County, Missouri",167018,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kaufman County, Texas",111179,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lancaster County, South Carolina",100080,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lee's Summit, Missouri",104402,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lenexa, Kansas",59161,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Longview, Texas",82981,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Midwest City, Oklahoma",57696,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Nassau County, New York",1077192,300.00%,Jan - Apr 2025,2025-12-16 15:08:46 EST
"National City, California",55270,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"New Bedford, Massachusetts",100876,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Norman, Oklahoma",130366,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Peoria, Arizona",200886,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Pima County, Arizona",365222,-55.56%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pontiac, Michigan",61871,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Port Arthur, Texas",55371,-20.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Schenectady, New York",69035,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St. Cloud, Minnesota",69922,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St. George, Utah",105930,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Travis County, Texas",277111,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Jordan, Utah",116485,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Youngstown, Ohio",58773,-20.00%,Jan - May 2025,2025-12-16 15:08:46 EST
"Bellevue, Nebraska",62372,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Boulder, Colorado",104232,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Bridgeport, Connecticut",148483,-72.73%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Burlington, North Carolina",60156,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Canton Township, Michigan",98915,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chula Vista, California",280748,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Clovis, California",126552,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Denton County, Texas",160587,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Erie, Pennsylvania",92920,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Escondido, California",149837,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fall River, Massachusetts",93879,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Forsyth County, Georgia",267417,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fort Collins, Colorado",168886,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Frisco, Texas",228527,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Prairie, Texas",205487,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hall County, Georgia",148922,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hammond, Indiana",75990,50.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Henrico County, Virginia",334046,-81.25%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Henry County, Georgia",172407,-25.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Johns Creek, Georgia",82646,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jonesboro, Arkansas",80395,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Kalamazoo County, Michigan",108458,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kannapolis, North Carolina",56479,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lafayette, Louisiana",121361,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lexington County, South Carolina",232613,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Livingston Parish, Louisiana",134038,-57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Loudoun County, Virginia",378299,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lynn, Massachusetts",101144,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Madison, Wisconsin",274234,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Odessa, Texas",111922,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Owensboro, Kentucky",59937,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Oxnard, California",199508,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
