agency_full,population,Percent_Change,YTD_Range,Last Updated
"Rowlett, Texas",66671,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Santa Cruz County, California",128246,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Saratoga County, New York",183036,-50.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Schaumburg, Illinois",75140,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Scranton, Pennsylvania",75687,-83.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Simi Valley, California",123443,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sioux City, Iowa",85365,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Spokane Valley, Washington",109278,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St Charles County, Missouri",119176,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St Joseph County, Indiana",109381,NaN%,Jan - Mar 2025,2025-12-16 15:08:46 EST
"St Joseph, Missouri",69925,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St. Clair Shores, Michigan",57257,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Stark County, Ohio",117590,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sterling Heights, Michigan",131801,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sugar Land, Texas",108718,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sunnyvale, California",152031,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tracy, California",99347,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Troy, Michigan",87265,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Union County, North Carolina",170556,-50.00%,Jan - Jun 2025,2025-12-16 15:08:46 EST
"Vacaville, California",101975,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Ventura, California",109035,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Warren County, Ohio",102918,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Washington County, Maryland",104179,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Allis, Wisconsin",58505,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wyoming, Michigan",76712,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Alameda, California",75061,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Alexandria, Virginia",153897,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Aliso Viejo, California",50736,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Alpharetta, Georgia",68139,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Anderson, Indiana",55275,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Ankeny, Iowa",74233,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Appleton, Wisconsin",73921,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Arlington Heights, Illinois",74094,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bartlett, Tennessee",56324,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Bethlehem, Pennsylvania",78606,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bismarck, North Dakota",74802,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Blaine, Minnesota",72384,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bloomfield, New Jersey",53181,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Blue Springs, Missouri",59896,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Boone County, Kentucky",107867,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Brentwood, California",66976,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Bristol, Connecticut",61609,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Brookline, Massachusetts",62639,0.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Broomfield, Colorado",77072,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Buckeye, Arizona",112048,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Buena Park, California",81753,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Burbank, California",102345,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Canton, Ohio",69164,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Carmel, Indiana",103013,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Casa Grande, Arizona",63228,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Castle Rock, Colorado",83546,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Chapel Hill, North Carolina",65066,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Cherry Hill Township, New Jersey",78082,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Cicero, Illinois",80455,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Clifton, New Jersey",88361,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Collierville, Tennessee",51686,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Colonie Town, New York",80724,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Comal County, Texas",94653,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Coon Rapids, Minnesota",62391,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Corvallis, Oregon",61474,-100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Daly City, California",97774,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Davis, California",67193,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Des Plaines, Illinois",57672,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Draper, Utah",50588,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Dublin, Ohio",48827,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Dubuque, Iowa",58492,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Dunwoody, Georgia",52505,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Eagan, Minnesota",66943,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"East Hartford, Connecticut",50625,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Eden Prairie, Minnesota",61645,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Edinburg, Texas",106137,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Evanston, Illinois",74413,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Everett, Massachusetts",49740,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fairfield, Connecticut",63588,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Farmington Hills, Michigan",82223,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fishers, Indiana",103247,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Flagstaff, Arizona",75343,-100.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Flower Mound, Texas",79513,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Fountain Valley, California",55419,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Framingham, Massachusetts",70624,0.00%,Jan - Jun 2025,2025-12-16 15:08:46 EST
"Fremont, California",220775,0.00%,Jan - Jan 2025,2025-12-16 15:08:46 EST
"Fullerton, California",139131,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Gilroy, California",57331,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Forks, North Dakota",58470,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Island, Nebraska",52264,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grand Junction, Colorado",69240,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Grapevine, Texas",51458,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Green Township, Ohio",59277,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Greenwich, Connecticut",63777,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Hamden, Connecticut",60691,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Hanover County, Virginia",106595,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Harrisonburg, Virginia",50928,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Haverford, Pennsylvania",50505,0.00%,Jan - Jun 2025,2025-12-16 15:08:46 EST
"Haverhill, Massachusetts",67133,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hays County, Texas",130433,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Hempstead Village, New York",58071,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Idaho Falls, Idaho",68662,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Iredell County, North Carolina",111895,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Irvine, California",316132,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Jefferson County, Colorado",194994,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kentwood, Michigan",53979,-100.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Kettering, Ohio",56633,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kingsport, Tennessee",56522,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Kyle, Texas",63931,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Laguna Niguel, California",63502,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Lake Havasu City, Arizona",59720,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lakeville, Minnesota",76929,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lakewood, Ohio",49304,0.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Lancaster, Pennsylvania",57213,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Layton, Utah",82887,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Lincoln, California",53950,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Livermore, California",83155,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Livonia, Michigan",93042,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Longmont, Colorado",98444,-100.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Lower Merion, Pennsylvania",64350,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Macomb County, Michigan",191695,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Malden, Massachusetts",64291,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Maple Grove, Minnesota",70729,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Marana, Arizona",57718,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Maricopa, Arizona",70355,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"McAllen, Texas",145684,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Medford, Massachusetts",68280,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Meriden, Connecticut",60054,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Meridian, Idaho",135239,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Methuen, Massachusetts",53558,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Middletown, Ohio",51328,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
"Milpitas, California",76573,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Minnetonka, Minnesota",51791,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Missoula, Montana",78269,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Monterey Park, California",57419,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Moore, Oklahoma",63311,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mooresville, North Carolina",53767,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mount Pleasant, South Carolina",96320,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mount Prospect, Illinois",53932,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Mount Vernon, New York",70812,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Murrieta, California",115037,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Nashua, New Hampshire",91145,0.00%,Jan - Jan 2025,2025-12-16 15:08:46 EST
"Newark, Ohio",51147,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Newport Beach, California",83392,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Newton, Massachusetts",86996,0.00%,Jan - Jun 2025,2025-12-16 15:08:46 EST
"Noblesville, Indiana",74211,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Normal, Illinois",52883,-100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"North Bergen Township, New Jersey",59147,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Norwalk, Connecticut",91639,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Novato, California",51733,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Novi, Michigan",66482,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Oak Lawn, Illinois",55368,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Orem, Utah",94682,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Palo Alto, California",64855,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Peabody, Massachusetts",53841,0.00%,Jan - Jan 2025,2025-12-16 15:08:46 EST
"Petaluma, California",58099,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pinal County, Arizona",229832,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pittsfield, Massachusetts",43078,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Plymouth, Minnesota",77576,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pocatello, Idaho",58390,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Porterville, California",63165,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Prescott Valley, Arizona",50166,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Pueblo, Colorado",111240,-100.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
"Quincy, Massachusetts",102465,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Redlands, California",74147,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Redmond, Washington",78496,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Redondo Beach, California",67742,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Revere, Massachusetts",57132,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Richland, Washington",63816,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Rocklin, California",74876,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Rockwall, Texas",53433,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"San Mateo, California",98883,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"San Rafael, California",59400,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Sandy, Utah",91132,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Santa Clara, California",126452,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Santa Cruz, California",61754,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Saratoga Springs, Utah",56039,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Sarpy County, Nebraska",98019,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Shawnee, Kansas",70098,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Skokie, Illinois",64417,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Smyrna, Tennessee",58096,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Somerville, Massachusetts",79513,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"South Jordan, Utah",86444,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"South San Francisco, California",62205,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"St Peters, Missouri",58937,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Stamford, Connecticut",136512,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"State College, Pennsylvania",58532,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Stratford, Connecticut",52596,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Taunton, Massachusetts",60356,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Temple, Texas",93073,0.00%,Jan - Jan 2025,2025-12-16 15:08:46 EST
"Tigard, Oregon",56142,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Tinley Park, Illinois",53528,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Twin Falls, Idaho",55447,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wake Forest, North Carolina",52609,-100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
"Waltham, Massachusetts",63797,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Warwick, Rhode Island",83369,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Washington County, Oregon",239309,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Washtenaw County, Michigan",161396,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Waukesha, Wisconsin",70095,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wayne Township, New Jersey",52317,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Bloomfield Township, Michigan",64904,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Chester Township, Ohio",62860,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Des Moines, Iowa",71674,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Hartford, Connecticut",64423,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West Haven, Connecticut",54791,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"West New York, New Jersey",51884,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Westfield, Indiana",58858,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Weymouth, Massachusetts",57725,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Will County, Illinois",104475,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Woodbury, Minnesota",80153,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wright County, Minnesota",129359,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Wylie, Texas",62539,-100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
"Yavapai County, Arizona",97526,-100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
"Yorba Linda, California",66477,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
